KEY,POPULATION,RACE,BOROUGH
1,3559821,WHITE,NYC
2,2025847,BLACK,NYC
3,33347,AMERICAN INDIAN/ALASKAN NATIVE,NYC
4,1175491,ASIAN,NYC
5,8337,HAWAIIAN_PACIFIC ISLANDER,NYC
6,633939,WHITE,Bronx
7,618338,BLACK,Bronx
8,41128,AMERICAN INDIAN/ALASKAN NATIVE,Bronx
9,65238,ASIAN,Bronx
10,5673,HAWAIIAN_PACIFIC ISLANDER,Bronx
11,1274832,WHITE,Brooklyn
12,865247,BLACK,Brooklyn
13,23039,AMERICAN INDIAN/ALASKAN NATIVE,Brooklyn
14,325108,ASIAN,Brooklyn
15,2560,HAWAIIAN_PACIFIC ISLANDER,Brooklyn
16,1048887,WHITE,Manhattan
17,289910,BLACK,Manhattan
18,19544,AMERICAN INDIAN/ALASKAN NATIVE,Manhattan
19,208474,ASIAN,Manhattan
20,3257,HAWAIIAN_PACIFIC ISLANDER,Manhattan
21,1077344,WHITE,Queens
22,466549,BLACK,Queens
23,29300,AMERICAN INDIAN/ALASKAN NATIVE,Queens
24,606288,ASIAN,Queens
25,4508,HAWAIIAN_PACIFIC ISLANDER,Queens
26,354727,WHITE,Staten Island
27,55233,BLACK,Staten Island
28,3333,AMERICAN INDIAN/ALASKAN NATIVE,Staten Island
29,51900,ASIAN,Staten Island
30,476,HAWAIIAN_PACIFIC ISLANDER,Staten Island